Image,Component,License
scenescape-autocalibration,addict==2.4.0,MIT License
scenescape-autocalibration,asttokens==3.0.1,Apache 2.0
scenescape-autocalibration,attrs==25.4.0,MIT
scenescape-autocalibration,beautifulsoup4==4.14.3,MIT License
scenescape-autocalibration,bidict==0.23.1,MPL 2.0
scenescape-autocalibration,blinker==1.9.0,MIT License
scenescape-autocalibration,certifi==2026.2.25,MPL-2.0
scenescape-autocalibration,cffi==2.0.0,MIT
scenescape-autocalibration,charset-normalizer==3.4.5,MIT
scenescape-autocalibration,click==8.3.1,BSD-3-Clause
scenescape-autocalibration,comm==0.2.3,BSD License
scenescape-autocalibration,ConfigArgParse==1.7.5,MIT
scenescape-autocalibration,contourpy==1.3.3,BSD License
scenescape-autocalibration,cryptography==46.0.5,Apache-2.0 OR BSD-3-Clause
scenescape-autocalibration,cycler==0.12.1,BSD License
scenescape-autocalibration,dash==4.0.0,MIT
scenescape-autocalibration,decorator==5.2.1,BSD-2-Clause
scenescape-autocalibration,dnspython==2.8.0,ISC
scenescape-autocalibration,durationpy==0.10,MIT
scenescape-autocalibration,eventlet==0.40.3,MIT
scenescape-autocalibration,executing==2.2.1,MIT
scenescape-autocalibration,fastjsonschema==2.21.2,BSD
scenescape-autocalibration,filelock==3.25.1,MIT
scenescape-autocalibration,Flask==3.1.3,BSD-3-Clause
scenescape-autocalibration,Flask-SocketIO==5.6.1,MIT License
scenescape-autocalibration,fonttools==4.62.0,MIT
scenescape-autocalibration,fsspec==2026.2.0,BSD-3-Clause
scenescape-autocalibration,gdown==5.2.1,MIT
scenescape-autocalibration,google-auth==2.49.0,Apache 2.0
scenescape-autocalibration,greenlet==3.3.2,MIT AND PSF-2.0
scenescape-autocalibration,h11==0.16.0,MIT
scenescape-autocalibration,h5py==3.15.1,BSD-3-Clause
scenescape-autocalibration,idna==3.11,BSD-3-Clause
scenescape-autocalibration,importlib_metadata==8.7.1,Apache-2.0
scenescape-autocalibration,ipython==9.10.0,BSD-3-Clause
scenescape-autocalibration,ipython_pygments_lexers==1.1.1,BSD License
scenescape-autocalibration,ipywidgets==8.1.8,BSD 3-Clause License
scenescape-autocalibration,isodate==0.7.2,BSD License
scenescape-autocalibration,itsdangerous==2.2.0,BSD License
scenescape-autocalibration,jedi==0.19.2,MIT
scenescape-autocalibration,Jinja2==3.1.6,BSD License
scenescape-autocalibration,joblib==1.5.3,BSD-3-Clause
scenescape-autocalibration,jsonschema==4.26.0,MIT
scenescape-autocalibration,jsonschema-specifications==2025.9.1,MIT
scenescape-autocalibration,jupyter_core==5.9.1,BSD-3-Clause
scenescape-autocalibration,jupyterlab_widgets==3.0.16,BSD License
scenescape-autocalibration,kiwisolver==1.5.0,BSD License
scenescape-autocalibration,kornia==0.8.2,Apache-2.0
scenescape-autocalibration,kornia_rs==0.1.10,Apache Software License
scenescape-autocalibration,kubernetes==34.1.0,Apache License Version 2.0
scenescape-autocalibration,lxml==6.0.2,BSD-3-Clause
scenescape-autocalibration,MarkupSafe==3.0.3,BSD-3-Clause
scenescape-autocalibration,matplotlib==3.10.8,Python Software Foundation License
scenescape-autocalibration,matplotlib-inline==0.2.1,
scenescape-autocalibration,mpmath==1.3.0,BSD
scenescape-autocalibration,narwhals==2.18.0,MIT License
scenescape-autocalibration,nbformat==5.10.4,BSD License
scenescape-autocalibration,nest-asyncio==1.6.0,BSD
scenescape-autocalibration,networkx==3.6.1,BSD-3-Clause
scenescape-autocalibration,numpy==2.2.6,BSD License
scenescape-autocalibration,oauthlib==3.3.1,BSD-3-Clause
scenescape-autocalibration,onvif_zeep==0.2.12,MIT
scenescape-autocalibration,open3d-cpu==0.19.0,MIT
scenescape-autocalibration,opencv-python-headless==4.12.0.88,Apache 2.0
scenescape-autocalibration,packaging==26.0,Apache-2.0 OR BSD-2-Clause
scenescape-autocalibration,paho-mqtt==2.1.0,EPL-2.0 OR BSD-3-Clause
scenescape-autocalibration,pandas==3.0.1,BSD License
scenescape-autocalibration,parso==0.8.6,MIT
scenescape-autocalibration,pexpect==4.9.0,ISC license
scenescape-autocalibration,pillow==12.1.1,MIT-CMU
scenescape-autocalibration,pip==26.0.1,MIT
scenescape-autocalibration,platformdirs==4.9.4,MIT
scenescape-autocalibration,plotly==6.6.0,MIT License
scenescape-autocalibration,prompt_toolkit==3.0.52,BSD License
scenescape-autocalibration,ptyprocess==0.7.0,ISC License (ISCL)
scenescape-autocalibration,pure_eval==0.2.3,MIT
scenescape-autocalibration,pyasn1==0.6.2,BSD-2-Clause
scenescape-autocalibration,pyasn1_modules==0.4.2,BSD
scenescape-autocalibration,pycolmap==0.6.0,BSD License
scenescape-autocalibration,pycparser==3.0,BSD-3-Clause
scenescape-autocalibration,Pygments==2.19.2,BSD-2-Clause
scenescape-autocalibration,pyparsing==3.3.2,MIT
scenescape-autocalibration,pyquaternion==0.9.9,MIT
scenescape-autocalibration,PySocks==1.7.1,BSD
scenescape-autocalibration,python-dateutil==2.9.0.post0,Dual License
scenescape-autocalibration,python-engineio==4.13.1,MIT
scenescape-autocalibration,python-socketio==5.16.1,MIT
scenescape-autocalibration,pytz==2026.1.post1,MIT
scenescape-autocalibration,PyYAML==6.0.3,MIT
scenescape-autocalibration,referencing==0.37.0,MIT
scenescape-autocalibration,requests==2.32.5,Apache-2.0
scenescape-autocalibration,requests-file==3.0.1,Apache 2.0
scenescape-autocalibration,requests-oauthlib==2.0.0,ISC
scenescape-autocalibration,requests-toolbelt==1.0.0,Apache 2.0
scenescape-autocalibration,retrying==1.4.2,Apache-2.0
scenescape-autocalibration,rpds-py==0.30.0,MIT
scenescape-autocalibration,rsa==4.9.1,Apache-2.0
scenescape-autocalibration,scikit-learn==1.8.0,BSD-3-Clause
scenescape-autocalibration,scipy==1.16.3,BSD License
scenescape-autocalibration,setuptools==82.0.1,MIT
scenescape-autocalibration,simple-websocket==1.1.0,MIT License
scenescape-autocalibration,six==1.17.0,MIT
scenescape-autocalibration,soupsieve==2.8.3,MIT
scenescape-autocalibration,stack-data==0.6.3,MIT
scenescape-autocalibration,sympy==1.14.0,BSD
scenescape-autocalibration,threadpoolctl==3.6.0,BSD-3-Clause
scenescape-autocalibration,torch==2.10.0+cpu,BSD-3-Clause
scenescape-autocalibration,torchvision==0.25.0+cpu,BSD
scenescape-autocalibration,tqdm==4.67.3,MPL-2.0 AND MIT
scenescape-autocalibration,traitlets==5.14.3,BSD License
scenescape-autocalibration,trimesh==4.11.2,MIT License
scenescape-autocalibration,typing_extensions==4.15.0,PSF-2.0
scenescape-autocalibration,urllib3==2.3.0,MIT License
scenescape-autocalibration,wcwidth==0.6.0,MIT
scenescape-autocalibration,websocket-client==1.9.0,Apache-2.0
scenescape-autocalibration,Werkzeug==3.1.6,BSD-3-Clause
scenescape-autocalibration,wheel==0.46.3,MIT
scenescape-autocalibration,widgetsnbextension==4.0.15,BSD 3-Clause License
scenescape-autocalibration,wsproto==1.3.2,MIT
scenescape-autocalibration,zeep==4.3.2,MIT
scenescape-autocalibration,zipp==3.23.0,MIT
scenescape-cluster-analytics,bidict==0.23.1,MPL 2.0
scenescape-cluster-analytics,blinker==1.9.0,MIT License
scenescape-cluster-analytics,click==8.3.0,BSD-3-Clause
scenescape-cluster-analytics,dnspython==2.7.0,ISC
scenescape-cluster-analytics,eventlet==0.40.3,MIT
scenescape-cluster-analytics,Flask==3.1.1,BSD-3-Clause
scenescape-cluster-analytics,Flask-SocketIO==5.4.1,MIT License
scenescape-cluster-analytics,greenlet==3.1.1,MIT License
scenescape-cluster-analytics,h11==0.16.0,MIT
scenescape-cluster-analytics,itsdangerous==2.2.0,BSD License
scenescape-cluster-analytics,Jinja2==3.1.6,BSD License
scenescape-cluster-analytics,joblib==1.5.2,BSD 3-Clause
scenescape-cluster-analytics,MarkupSafe==3.0.3,BSD-3-Clause
scenescape-cluster-analytics,numpy==2.3.5,BSD License
scenescape-cluster-analytics,opencv-python-headless==4.11.0.86,Apache 2.0
scenescape-cluster-analytics,packaging==24.2,Apache Software License
scenescape-cluster-analytics,paho-mqtt==2.1.0,EPL-2.0 OR BSD-3-Clause
scenescape-cluster-analytics,pip==26.0.1,MIT
scenescape-cluster-analytics,protobuf==6.33.5,3-Clause BSD License
scenescape-cluster-analytics,python-engineio==4.12.3,MIT
scenescape-cluster-analytics,python-socketio==5.14.0,MIT
scenescape-cluster-analytics,scikit-learn==1.6.1,BSD License
scenescape-cluster-analytics,scipy==1.16.2,BSD License
scenescape-cluster-analytics,setuptools==82.0.1,MIT
scenescape-cluster-analytics,simple-websocket==1.1.0,MIT License
scenescape-cluster-analytics,threadpoolctl==3.6.0,BSD-3-Clause
scenescape-cluster-analytics,Werkzeug==3.1.5,BSD-3-Clause
scenescape-cluster-analytics,wheel==0.46.3,MIT
scenescape-cluster-analytics,wsproto==1.2.0,MIT License
scenescape-controller,addict==2.4.0,MIT License
scenescape-controller,asttokens==3.0.1,Apache 2.0
scenescape-controller,attrs==25.4.0,MIT
scenescape-controller,blinker==1.9.0,MIT License
