Image,Component,Origin
scenescape-autocalibration,ConfigArgParse==1.7.5,pypi
scenescape-autocalibration,Flask-SocketIO==5.6.1,pypi
scenescape-autocalibration,Flask==3.1.3,pypi
scenescape-autocalibration,Jinja2==3.1.6,pypi
scenescape-autocalibration,MarkupSafe==3.0.3,pypi
scenescape-autocalibration,PySocks==1.7.1,pypi
scenescape-autocalibration,PyYAML==6.0.3,pypi
scenescape-autocalibration,Pygments==2.19.2,pypi
scenescape-autocalibration,Werkzeug==3.1.6,pypi
scenescape-autocalibration,addict==2.4.0,pypi
scenescape-autocalibration,asttokens==3.0.1,pypi
scenescape-autocalibration,attrs==25.4.0,pypi
scenescape-autocalibration,beautifulsoup4==4.14.3,pypi
scenescape-autocalibration,bidict==0.23.1,pypi
scenescape-autocalibration,blinker==1.9.0,pypi
scenescape-autocalibration,certifi==2026.2.25,pypi
scenescape-autocalibration,cffi==2.0.0,pypi
scenescape-autocalibration,charset-normalizer==3.4.5,pypi
scenescape-autocalibration,click==8.3.1,pypi
scenescape-autocalibration,comm==0.2.3,pypi
scenescape-autocalibration,contourpy==1.3.3,pypi
scenescape-autocalibration,cryptography==46.0.5,pypi
scenescape-autocalibration,curl:7.88.1-10+deb12u14,Ubuntu
scenescape-autocalibration,cycler==0.12.1,pypi
scenescape-autocalibration,dash==4.0.0,pypi
scenescape-autocalibration,decorator==5.2.1,pypi
scenescape-autocalibration,dnspython==2.8.0,pypi
scenescape-autocalibration,dt_apriltags @ file:///tmp/dt_apriltags-3.3.0-py3-none-any.whl#sha256=f5241c8347751572647629b3afba291d403164e1a593fb0f076e542ccd1436b6,pypi
scenescape-autocalibration,durationpy==0.10,pypi
scenescape-autocalibration,eventlet==0.40.3,pypi
scenescape-autocalibration,executing==2.2.1,pypi
scenescape-autocalibration,fastjsonschema==2.21.2,pypi
scenescape-autocalibration,filelock==3.25.1,pypi
scenescape-autocalibration,fonttools==4.62.0,pypi
scenescape-autocalibration,fsspec==2026.2.0,pypi
scenescape-autocalibration,gdown==5.2.1,pypi
scenescape-autocalibration,google-auth==2.49.0,pypi
scenescape-autocalibration,greenlet==3.3.2,pypi
scenescape-autocalibration,h11==0.16.0,pypi
scenescape-autocalibration,h5py==3.15.1,pypi
scenescape-autocalibration,hloc @ file:///tmp/hloc-1.3-py3-none-any.whl#sha256=cfa30da2c64ddae4b5742050bef43cf21b32937ea14639e7f5966e257a079bea,pypi
scenescape-autocalibration,idna==3.11,pypi
scenescape-autocalibration,importlib_metadata==8.7.1,pypi
scenescape-autocalibration,ipython==9.10.0,pypi
scenescape-autocalibration,ipython_pygments_lexers==1.1.1,pypi
scenescape-autocalibration,ipywidgets==8.1.8,pypi
scenescape-autocalibration,isodate==0.7.2,pypi
scenescape-autocalibration,itsdangerous==2.2.0,pypi
scenescape-autocalibration,jedi==0.19.2,pypi
scenescape-autocalibration,joblib==1.5.3,pypi
scenescape-autocalibration,jsonschema-specifications==2025.9.1,pypi
scenescape-autocalibration,jsonschema==4.26.0,pypi
scenescape-autocalibration,jupyter_core==5.9.1,pypi
scenescape-autocalibration,jupyterlab_widgets==3.0.16,pypi
scenescape-autocalibration,kiwisolver==1.5.0,pypi
scenescape-autocalibration,kornia==0.8.2,pypi
scenescape-autocalibration,kornia_rs==0.1.10,pypi
scenescape-autocalibration,kubernetes==34.1.0,pypi
scenescape-autocalibration,libbrotli1:amd64:1.0.9-2+b6,Ubuntu
scenescape-autocalibration,libbsd0:amd64:0.11.7-2,Ubuntu
scenescape-autocalibration,libcurl4:amd64:7.88.1-10+deb12u14,Ubuntu
scenescape-autocalibration,libdrm-amdgpu1:amd64:2.4.114-1+b1,Ubuntu
scenescape-autocalibration,libdrm-common:2.4.114-1,Ubuntu
scenescape-autocalibration,libdrm-intel1:amd64:2.4.114-1+b1,Ubuntu
scenescape-autocalibration,libdrm-nouveau2:amd64:2.4.114-1+b1,Ubuntu
scenescape-autocalibration,libdrm-radeon1:amd64:2.4.114-1+b1,Ubuntu
scenescape-autocalibration,libdrm2:amd64:2.4.114-1+b1,Ubuntu
scenescape-autocalibration,libedit2:amd64:3.1-20221030-2,Ubuntu
scenescape-autocalibration,libegl-mesa0:amd64:22.3.6-1+deb12u1,Ubuntu
scenescape-autocalibration,libegl1:amd64:1.6.0-1,Ubuntu
scenescape-autocalibration,libelf1:amd64:0.188-2.1,Ubuntu
scenescape-autocalibration,libexpat1:amd64:2.5.0-1+deb12u2,Ubuntu
scenescape-autocalibration,libgbm1:amd64:22.3.6-1+deb12u1,Ubuntu
scenescape-autocalibration,libgl1-mesa-dri:amd64:22.3.6-1+deb12u1,Ubuntu
scenescape-autocalibration,libgl1:amd64:1.6.0-1,Ubuntu
scenescape-autocalibration,libglapi-mesa:amd64:22.3.6-1+deb12u1,Ubuntu
scenescape-autocalibration,libglib2.0-0:amd64:2.74.6-2+deb12u8,Ubuntu
scenescape-autocalibration,libglvnd0:amd64:1.6.0-1,Ubuntu
scenescape-autocalibration,libglx-mesa0:amd64:22.3.6-1+deb12u1,Ubuntu
scenescape-autocalibration,libglx0:amd64:1.6.0-1,Ubuntu
scenescape-autocalibration,libgomp1:amd64:12.2.0-14+deb12u1,Ubuntu
scenescape-autocalibration,libicu72:amd64:72.1-3+deb12u1,Ubuntu
scenescape-autocalibration,libldap-2.5-0:amd64:2.5.13+dfsg-5,Ubuntu
scenescape-autocalibration,libllvm15:amd64:1:15.0.6-4+b1,Ubuntu
scenescape-autocalibration,libnghttp2-14:amd64:1.52.0-1+deb12u2,Ubuntu
scenescape-autocalibration,libpciaccess0:amd64:0.17-2,Ubuntu
scenescape-autocalibration,libpsl5:amd64:0.21.2-1,Ubuntu
scenescape-autocalibration,libpython3-stdlib:amd64:3.11.2-1+b1,Ubuntu
scenescape-autocalibration,libpython3.11-minimal:amd64:3.11.2-6+deb12u6,Ubuntu
scenescape-autocalibration,libpython3.11-stdlib:amd64:3.11.2-6+deb12u6,Ubuntu
scenescape-autocalibration,librtmp1:amd64:2.4+20151223.gitfa8646d.1-2+b2,Ubuntu
scenescape-autocalibration,libsasl2-2:amd64:2.1.28+dfsg-10,Ubuntu
scenescape-autocalibration,libsasl2-modules-db:amd64:2.1.28+dfsg-10,Ubuntu
scenescape-autocalibration,libsensors-config:1:3.6.0-7.1,Ubuntu
scenescape-autocalibration,libsensors5:amd64:1:3.6.0-7.1,Ubuntu
scenescape-autocalibration,libssh2-1:amd64:1.10.0-3+b1,Ubuntu
scenescape-autocalibration,libwayland-client0:amd64:1.21.0-1,Ubuntu
scenescape-autocalibration,libwayland-server0:amd64:1.21.0-1,Ubuntu
scenescape-autocalibration,libx11-6:amd64:2:1.8.4-2+deb12u2,Ubuntu
scenescape-autocalibration,libx11-data:2:1.8.4-2+deb12u2,Ubuntu
scenescape-autocalibration,libx11-xcb1:amd64:2:1.8.4-2+deb12u2,Ubuntu
scenescape-autocalibration,libxau6:amd64:1:1.0.9-1,Ubuntu
scenescape-autocalibration,libxcb-dri2-0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-dri3-0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-glx0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-present0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-randr0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-shm0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-sync1:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb-xfixes0:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxcb1:amd64:1.15-1,Ubuntu
scenescape-autocalibration,libxdmcp6:amd64:1:1.1.2-3,Ubuntu
scenescape-autocalibration,libxext6:amd64:2:1.3.4-1+b1,Ubuntu
scenescape-autocalibration,libxfixes3:amd64:1:6.0.0-2,Ubuntu
scenescape-autocalibration,libxml2:amd64:2.9.14+dfsg-1.3~deb12u5,Ubuntu
scenescape-autocalibration,libxshmfence1:amd64:1.3-1,Ubuntu
scenescape-autocalibration,libxxf86vm1:amd64:1:1.1.4-1+b2,Ubuntu
scenescape-autocalibration,libz3-4:amd64:4.8.12-3.1,Ubuntu
scenescape-autocalibration,lxml==6.0.2,pypi
scenescape-autocalibration,matplotlib-inline==0.2.1,pypi
scenescape-autocalibration,matplotlib==3.10.8,pypi
scenescape-autocalibration,media-types:10.0.0,Ubuntu
scenescape-autocalibration,mpmath==1.3.0,pypi
scenescape-autocalibration,narwhals==2.18.0,pypi
scenescape-autocalibration,nbformat==5.10.4,pypi
scenescape-autocalibration,nest-asyncio==1.6.0,pypi
scenescape-autocalibration,networkx==3.6.1,pypi
scenescape-autocalibration,numpy==2.2.6,pypi
scenescape-autocalibration,oauthlib==3.3.1,pypi
scenescape-autocalibration,onvif_zeep==0.2.12,pypi
scenescape-autocalibration,open3d-cpu==0.19.0,pypi
scenescape-autocalibration,opencv-python-headless==4.12.0.88,pypi
scenescape-autocalibration,packaging==26.0,pypi
scenescape-autocalibration,paho-mqtt==2.1.0,pypi
scenescape-autocalibration,pandas==3.0.1,pypi
scenescape-autocalibration,parso==0.8.6,pypi
scenescape-autocalibration,pexpect==4.9.0,pypi
scenescape-autocalibration,pillow==12.1.1,pypi
scenescape-autocalibration,pip==26.0.1,pypi
scenescape-autocalibration,platformdirs==4.9.4,pypi
scenescape-autocalibration,plotly==6.6.0,pypi
scenescape-autocalibration,prompt_toolkit==3.0.52,pypi
scenescape-autocalibration,ptyprocess==0.7.0,pypi
scenescape-autocalibration,pure_eval==0.2.3,pypi
scenescape-autocalibration,pyasn1==0.6.2,pypi
scenescape-autocalibration,pyasn1_modules==0.4.2,pypi
scenescape-autocalibration,pycolmap==0.6.0,pypi
scenescape-autocalibration,pycparser==3.0,pypi
scenescape-autocalibration,pyparsing==3.3.2,pypi
scenescape-autocalibration,pyquaternion==0.9.9,pypi
scenescape-autocalibration,python-dateutil==2.9.0.post0,pypi
scenescape-autocalibration,python-engineio==4.13.1,pypi
scenescape-autocalibration,python-socketio==5.16.1,pypi
scenescape-autocalibration,python3-distutils:3.11.2-3,Ubuntu
scenescape-autocalibration,python3-lib2to3:3.11.2-3,Ubuntu
scenescape-autocalibration,python3-minimal:3.11.2-1+b1,Ubuntu
scenescape-autocalibration,python3-pip:23.0.1+dfsg-1,Ubuntu
scenescape-autocalibration,python3-pkg-resources:66.1.1-1+deb12u2,Ubuntu
scenescape-autocalibration,python3-setuptools:66.1.1-1+deb12u2,Ubuntu
scenescape-autocalibration,python3-wheel:0.38.4-2,Ubuntu
