Image,Component,Origin,License
scenescape-autocalibration,@jupyter-widgets/jupyterlab-manager@5.0.15,npm,BSD-3-Clause
scenescape-autocalibration,@plotly/dash-jupyterlab@0.4.3,npm,MIT
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-autocalibration,addict==2.4.0,pypi,LicenseRef-UNKNOWN
scenescape-autocalibration,adduser:3.134,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later
scenescape-autocalibration,apt:2.6.1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
scenescape-autocalibration,asttokens==3.0.1,pypi,LicenseRef-Apache-2.0
scenescape-autocalibration,attrs==25.4.0,pypi,MIT
scenescape-autocalibration,autocommand==2.2.2,pypi,LicenseRef-LGPLv3
scenescape-autocalibration,backports-tarfile==1.2.0,pypi,NOASSERTION
scenescape-autocalibration,base-files:12.4+deb12u13,Ubuntu,LicenseRef-GPL
scenescape-autocalibration,base-passwd:3.6.1,Ubuntu,GPL-2.0-only AND LicenseRef-public-domain
scenescape-autocalibration,bash:5.2.15-2+b10,Ubuntu,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
scenescape-autocalibration,beautifulsoup4==4.14.3,pypi,LicenseRef-MIT-License
scenescape-autocalibration,bidict==0.23.1,pypi,LicenseRef-MPL-2.0
scenescape-autocalibration,blinker==1.9.0,pypi,NOASSERTION
scenescape-autocalibration,bsdutils:1:2.38.1-5+deb12u3,Ubuntu,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
scenescape-autocalibration,ca-certificates:20230311+deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
scenescape-autocalibration,certifi==2026.2.25,pypi,MPL-2.0
scenescape-autocalibration,cffi==2.0.0,pypi,MIT
scenescape-autocalibration,charset-normalizer==3.4.5,pypi,MIT
scenescape-autocalibration,cli:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-autocalibration,cli-32:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-autocalibration,cli-64:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-autocalibration,cli-arm64:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-autocalibration,click==8.3.1,pypi,BSD-3-Clause
scenescape-autocalibration,comm==0.2.3,pypi,BSD-3-Clause
scenescape-autocalibration,configargparse==1.7.5,pypi,MIT
scenescape-autocalibration,contourpy==1.3.3,pypi,BSD-3-Clause
scenescape-autocalibration,coreutils:9.1-1,Ubuntu,BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-3.0-only AND GPL-3.0-or-later AND ISC
scenescape-autocalibration,cryptography==46.0.5,pypi,(Apache-2.0 OR BSD-3-Clause)
scenescape-autocalibration,curl:7.88.1-10+deb12u14,Ubuntu,BSD-3-Clause AND BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND OLDAP-2.8 AND X11 AND curl
scenescape-autocalibration,cycler==0.12.1,pypi,BSD-3-Clause
scenescape-autocalibration,dash:0.5.12-2,Ubuntu,BSD-3-Clause AND BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain
scenescape-autocalibration,dash==4.0.0,pypi,MIT
scenescape-autocalibration,debconf:1.5.82,Ubuntu,BSD-2-Clause
scenescape-autocalibration,debian-archive-keyring:2023.3+deb12u2,Ubuntu,LicenseRef-GPL
scenescape-autocalibration,debianutils:5.7-0.5~deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND SMAIL-GPL AND LicenseRef-public-domain
scenescape-autocalibration,decorator==5.2.1,pypi,BSD-2-Clause
scenescape-autocalibration,diffutils:1:3.8-4,Ubuntu,FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain
scenescape-autocalibration,dnspython==2.8.0,pypi,ISC
scenescape-autocalibration,dpkg:1.21.22,Ubuntu,BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d
scenescape-autocalibration,dt-apriltags==3.3.0,pypi,NOASSERTION
scenescape-autocalibration,durationpy==0.10,pypi,MIT
scenescape-autocalibration,e2fsprogs:1.47.0-2+b2,Ubuntu,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e
scenescape-autocalibration,eventlet==0.40.3,pypi,MIT
scenescape-autocalibration,executing==2.2.1,pypi,MIT
scenescape-autocalibration,fastjsonschema==2.21.2,pypi,LicenseRef-BSD
scenescape-autocalibration,ffmpeg:5.1.6,UNKNOWN,NOASSERTION
scenescape-autocalibration,filelock==3.25.1,pypi,MIT
