Image,Component,Origin,License
scenescape-controller,@jupyter-widgets/jupyterlab-manager@5.0.15,npm,BSD-3-Clause
scenescape-controller,@plotly/dash-jupyterlab@0.4.3,npm,MIT
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-controller,addict==2.4.0,pypi,LicenseRef-UNKNOWN
scenescape-controller,adduser:3.134,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later
scenescape-controller,apt:2.6.1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
scenescape-controller,asttokens==3.0.1,pypi,LicenseRef-Apache-2.0
scenescape-controller,attrs==25.4.0,pypi,MIT
scenescape-controller,autocommand==2.2.2,pypi,LicenseRef-LGPLv3
scenescape-controller,backports-tarfile==1.2.0,pypi,NOASSERTION
scenescape-controller,base-files:12.4+deb12u13,Ubuntu,LicenseRef-GPL
scenescape-controller,base-passwd:3.6.1,Ubuntu,GPL-2.0-only AND LicenseRef-public-domain
scenescape-controller,bash:5.2.15-2+b10,Ubuntu,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
scenescape-controller,blinker==1.9.0,pypi,NOASSERTION
scenescape-controller,bsdutils:1:2.38.1-5+deb12u3,Ubuntu,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
scenescape-controller,ca-certificates:20230311+deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
scenescape-controller,certifi==2026.2.25,pypi,MPL-2.0
scenescape-controller,charset-normalizer==3.4.5,pypi,MIT
scenescape-controller,cli:UNKNOWN,UNKNOWN,NOASSERTION
