Image,Component,Origin,License
scenescape-manager,@jupyter-widgets/jupyterlab-manager@5.0.15,npm,BSD-3-Clause
scenescape-manager,@plotly/dash-jupyterlab@0.4.3,npm,MIT
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-manager,addict==2.4.0,pypi,LicenseRef-UNKNOWN
scenescape-manager,adduser:3.134,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later
scenescape-manager,aiofiles==25.1.0,pypi,Apache-2.0
scenescape-manager,apache2:2.4.66-1~deb12u1,Ubuntu,Apache-2.0 AND BSD-2-Clause-Darwin AND LicenseRef-BSD-3-clause-Cambridge AND LicenseRef-BSD-3-clause-Smrgrav AND LicenseRef-Cisco AND LicenseRef-Custom AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-Haines AND LicenseRef-MD5 AND LicenseRef-PCRE AND LicenseRef-Zeus
scenescape-manager,apache2-bin:2.4.66-1~deb12u1,Ubuntu,Apache-2.0 AND BSD-2-Clause-Darwin AND LicenseRef-BSD-3-clause-Cambridge AND LicenseRef-BSD-3-clause-Smrgrav AND LicenseRef-Cisco AND LicenseRef-Custom AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-Haines AND LicenseRef-MD5 AND LicenseRef-PCRE AND LicenseRef-Zeus
scenescape-manager,apache2-data:2.4.66-1~deb12u1,Ubuntu,Apache-2.0 AND BSD-2-Clause-Darwin AND LicenseRef-BSD-3-clause-Cambridge AND LicenseRef-BSD-3-clause-Smrgrav AND LicenseRef-Cisco AND LicenseRef-Custom AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-Haines AND LicenseRef-MD5 AND LicenseRef-PCRE AND LicenseRef-Zeus
scenescape-manager,apache2-utils:2.4.66-1~deb12u1,Ubuntu,Apache-2.0 AND BSD-2-Clause-Darwin AND LicenseRef-BSD-3-clause-Cambridge AND LicenseRef-BSD-3-clause-Smrgrav AND LicenseRef-Cisco AND LicenseRef-Custom AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-Haines AND LicenseRef-MD5 AND LicenseRef-PCRE AND LicenseRef-Zeus
scenescape-manager,apt:2.6.1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
scenescape-manager,asgiref==3.11.1,pypi,BSD-3-Clause
scenescape-manager,asttokens==3.0.1,pypi,LicenseRef-Apache-2.0
scenescape-manager,attrs==25.4.0,pypi,MIT
scenescape-manager,autocommand==2.2.2,pypi,LicenseRef-LGPLv3
scenescape-manager,backports-tarfile==1.2.0,pypi,NOASSERTION
scenescape-manager,base-files:12.4+deb12u13,Ubuntu,LicenseRef-GPL
scenescape-manager,base-passwd:3.6.1,Ubuntu,GPL-2.0-only AND LicenseRef-public-domain
scenescape-manager,bash:5.2.15-2+b10,Ubuntu,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
scenescape-manager,bindfs:1.14.7-1,Ubuntu,GPL-2.0-only
scenescape-manager,blinker==1.9.0,pypi,NOASSERTION
scenescape-manager,bsdutils:1:2.38.1-5+deb12u3,Ubuntu,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
scenescape-manager,bzip2:1.0.8-5+b1,Ubuntu,LicenseRef-BSD-variant AND GPL-2.0-only
scenescape-manager,ca-certificates:20230311+deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
scenescape-manager,certifi==2026.2.25,pypi,MPL-2.0
scenescape-manager,cffi==2.0.0,pypi,MIT
