Image,Component,Origin,License
scenescape-mapping-mapanything,@jupyter-widgets/jupyterlab-manager@5.0.15,npm,BSD-3-Clause
scenescape-mapping-mapanything,@plotly/dash-jupyterlab@0.4.3,npm,MIT
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,absl-py==2.4.0,pypi,Apache-2.0
scenescape-mapping-mapanything,addict==2.4.0,pypi,LicenseRef-UNKNOWN
scenescape-mapping-mapanything,adduser:3.134,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later
scenescape-mapping-mapanything,aiofiles==24.1.0,pypi,Apache-2.0
scenescape-mapping-mapanything,annotated-doc==0.0.4,pypi,MIT
scenescape-mapping-mapanything,annotated-types==0.7.0,pypi,NOASSERTION
scenescape-mapping-mapanything,antlr4-python3-runtime==4.9.3,pypi,LicenseRef-BSD
scenescape-mapping-mapanything,anyio==4.12.1,pypi,MIT
scenescape-mapping-mapanything,apt:2.6.1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
scenescape-mapping-mapanything,argon2-cffi==25.1.0,pypi,MIT
scenescape-mapping-mapanything,argon2-cffi-bindings==25.1.0,pypi,MIT
scenescape-mapping-mapanything,asttokens==3.0.1,pypi,LicenseRef-Apache-2.0
scenescape-mapping-mapanything,attrs==25.4.0,pypi,MIT
scenescape-mapping-mapanything,autocommand==2.2.2,pypi,LicenseRef-LGPLv3
scenescape-mapping-mapanything,backports-tarfile==1.2.0,pypi,NOASSERTION
scenescape-mapping-mapanything,base-files:12.4+deb12u13,Ubuntu,LicenseRef-GPL
scenescape-mapping-mapanything,base-passwd:3.6.1,Ubuntu,GPL-2.0-only AND LicenseRef-public-domain
scenescape-mapping-mapanything,bash:5.2.15-2+b10,Ubuntu,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
scenescape-mapping-mapanything,blinker==1.9.0,pypi,NOASSERTION
scenescape-mapping-mapanything,brotli==1.2.0,pypi,MIT
scenescape-mapping-mapanything,bsdutils:1:2.38.1-5+deb12u3,Ubuntu,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
scenescape-mapping-mapanything,ca-certificates:20230311+deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND MPL-2.0
scenescape-mapping-mapanything,certifi==2026.2.25,pypi,MPL-2.0
scenescape-mapping-mapanything,cffi==2.0.0,pypi,MIT
scenescape-mapping-mapanything,charset-normalizer==3.4.5,pypi,MIT
scenescape-mapping-mapanything,cli:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,cli-32:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,cli-64:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,cli-arm64:UNKNOWN,UNKNOWN,NOASSERTION
scenescape-mapping-mapanything,click==8.3.1,pypi,BSD-3-Clause
scenescape-mapping-mapanything,comm==0.2.3,pypi,BSD-3-Clause
scenescape-mapping-mapanything,configargparse==1.7.5,pypi,MIT
scenescape-mapping-mapanything,contourpy==1.3.3,pypi,BSD-3-Clause
scenescape-mapping-mapanything,coreutils:9.1-1,Ubuntu,BSD-4-Clause-UC AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-3.0-only AND GPL-3.0-or-later AND ISC
scenescape-mapping-mapanything,curl:7.88.1-10+deb12u14,Ubuntu,BSD-3-Clause AND BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND OLDAP-2.8 AND X11 AND curl
scenescape-mapping-mapanything,cycler==0.12.1,pypi,BSD-3-Clause
scenescape-mapping-mapanything,dash:0.5.12-2,Ubuntu,BSD-3-Clause AND BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain
scenescape-mapping-mapanything,dash==4.0.0,pypi,MIT
scenescape-mapping-mapanything,debconf:1.5.82,Ubuntu,BSD-2-Clause
scenescape-mapping-mapanything,debian-archive-keyring:2023.3+deb12u2,Ubuntu,LicenseRef-GPL
scenescape-mapping-mapanything,debianutils:5.7-0.5~deb12u1,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later AND SMAIL-GPL AND LicenseRef-public-domain
scenescape-mapping-mapanything,decorator==5.2.1,pypi,BSD-2-Clause
scenescape-mapping-mapanything,diffutils:1:3.8-4,Ubuntu,FSFAP AND FSFULLR AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11 AND LicenseRef-public-domain
scenescape-mapping-mapanything,dpkg:1.21.22,Ubuntu,BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d
scenescape-mapping-mapanything,e2fsprogs:1.47.0-2+b2,Ubuntu,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e
scenescape-mapping-mapanything,einops==0.8.2,pypi,MIT
scenescape-mapping-mapanything,executing==2.2.1,pypi,MIT
scenescape-mapping-mapanything,fastapi==0.135.1,pypi,MIT
scenescape-mapping-mapanything,fastjsonschema==2.21.2,pypi,LicenseRef-BSD
scenescape-mapping-mapanything,ffmpeg:5.1.4,UNKNOWN,NOASSERTION
