Image,Component,Origin,License
scenescape-mapping-vggt,@jupyter-widgets/jupyterlab-manager@5.0.15,npm,BSD-3-Clause
scenescape-mapping-vggt,@plotly/dash-jupyterlab@0.4.3,npm,MIT
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,Simple Launcher:1.1.0.14,UNKNOWN,NOASSERTION
scenescape-mapping-vggt,absl-py==2.4.0,pypi,Apache-2.0
scenescape-mapping-vggt,addict==2.4.0,pypi,LicenseRef-UNKNOWN
scenescape-mapping-vggt,adduser:3.134,Ubuntu,GPL-2.0-only AND GPL-2.0-or-later
scenescape-mapping-vggt,aiofiles==24.1.0,pypi,Apache-2.0
scenescape-mapping-vggt,annotated-doc==0.0.4,pypi,MIT
scenescape-mapping-vggt,annotated-types==0.7.0,pypi,NOASSERTION
scenescape-mapping-vggt,antlr4-python3-runtime==4.9.3,pypi,LicenseRef-BSD
scenescape-mapping-vggt,anyio==4.12.1,pypi,MIT
scenescape-mapping-vggt,apt:2.6.1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
scenescape-mapping-vggt,argon2-cffi==25.1.0,pypi,MIT
scenescape-mapping-vggt,argon2-cffi-bindings==25.1.0,pypi,MIT
scenescape-mapping-vggt,asttokens==3.0.1,pypi,LicenseRef-Apache-2.0
scenescape-mapping-vggt,attrs==25.4.0,pypi,MIT
scenescape-mapping-vggt,autocommand==2.2.2,pypi,LicenseRef-LGPLv3
scenescape-mapping-vggt,backports-tarfile==1.2.0,pypi,NOASSERTION
scenescape-mapping-vggt,base-files:12.4+deb12u13,Ubuntu,LicenseRef-GPL
scenescape-mapping-vggt,base-passwd:3.6.1,Ubuntu,GPL-2.0-only AND LicenseRef-public-domain
scenescape-mapping-vggt,bash:5.2.15-2+b10,Ubuntu,BSD-4-Clause-UC AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND Latex2e AND LicenseRef-MIT-like AND LicenseRef-permissive
scenescape-mapping-vggt,blinker==1.9.0,pypi,NOASSERTION
scenescape-mapping-vggt,brotli==1.2.0,pypi,MIT
