Image,Component,Origin,License
scenescape-tracker,base-files:13.8+deb13u3,Ubuntu,LicenseRef-GPL AND GPL-2.0-or-later AND LicenseRef-verbatim
scenescape-tracker,gcc-14-base:14.2.0-19,Ubuntu,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
scenescape-tracker,libc6:2.41-12+deb13u1,Ubuntu,BSD-2-Clause AND LicenseRef-BSD-3-clause-Berkeley AND LicenseRef-BSD-3-clause-Carnegie AND LicenseRef-BSD-3-clause-Oracle AND LicenseRef-BSD-3-clause-WIDE AND LicenseRef-BSD-like-Spencer AND BSL-1.0 AND LicenseRef-CORE-MATH AND LicenseRef-Carnegie AND LicenseRef-DEC AND FSFAP AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-GPL-2--with-link-exception AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-IBM AND ISC AND LicenseRef-Inner-Net AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-LGPL-2.1--with-link-exception AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-MIT-like-Lord AND LicenseRef-PCRE AND SunPro AND Unicode-DFS-2016 AND LicenseRef-Univ-Coimbra AND LicenseRef-public-domain
scenescape-tracker,libgcc-s1:14.2.0-19,Ubuntu,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
scenescape-tracker,libgomp1:14.2.0-19,Ubuntu,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
scenescape-tracker,libssl3t64:3.5.4-1~deb13u2,Ubuntu,Apache-2.0 AND LicenseRef-Artistic AND GPL-1.0-only AND GPL-1.0-or-later
scenescape-tracker,libstdc++6:14.2.0-19,Ubuntu,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
scenescape-tracker,libzstd1:1.5.7+dfsg-1,Ubuntu,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND Zlib
scenescape-tracker,media-types:13.0.0,Ubuntu,LicenseRef-ad-hoc
scenescape-tracker,netbase:6.5,Ubuntu,GPL-2.0-only
scenescape-tracker,tzdata:2025b-4+deb13u1,Ubuntu,LicenseRef-public-domain
scenescape-tracker,zlib1g:1:1.3.dfsg+really1.3.1-1+b1,Ubuntu,Zlib
scenescape-tracker,sbom,UNKNOWN,NOASSERTION
