Name,Version,License
abseil,20250127.0,Apache-2.0
autoconf,2.71,"GPL-2.0-or-later, GPL-3.0-or-later"
automake,1.16.5,"GPL-2.0-or-later, GPL-3.0-or-later"
c-ares,1.34.6,MIT
cli11,2.6.0,BSD-3-Clause
cmake,3.31.11,BSD-3-Clause
cmake,4.2.3,BSD-3-Clause
cpp-httplib,0.28.0,MIT
eigen,3.4.0,"MPL-2.0, LGPL-3.0-or-later"
gnu-config,cci.20210814,"GPL-3.0-or-later, autoconf-special-exception"
grpc,1.67.1,Apache-2.0
gtest,1.17.0,BSD-3-Clause
libcurl,8.18.0,curl
libtool,2.4.7,"GPL-2.0-or-later, GPL-3.0-or-later"
m4,1.4.19,GPL-3.0-only
meson,1.10.1,Apache-2.0
ms-gsl,4.0.0,MIT
ninja,1.13.2,Apache-2.0
nlohmann_json,3.11.3,MIT
opencv,4.12.0,Apache-2.0
openjpeg,2.5.4,BSD-2-Clause
openssl,3.6.1,Apache-2.0
opentelemetry-cpp,1.18.0,Apache-2.0
opentelemetry-proto,1.4.0,Apache-2.0
paho-mqtt-c,1.3.13,EPL-2.0
paho-mqtt-cpp,1.5.3,EPL-1.0
pkgconf,2.5.1,ISC
protobuf,5.27.0,BSD-3-Clause
quill,11.0.2,MIT
rapidjson,cci.20230929,MIT
re2,20230301,BSD-3-Clause
stduuid,1.2.3,MIT
zlib,1.3.1,Zlib
