Image,Component,Origin,License,Distributed by you?,Comments
scenescape-controller,libdbus-1-3:amd64:1.14.10-4ubuntu4.1,Ubuntu,AFL-2.1 License,Y,indirect dependency automatically installed
scenescape-camcalibration,python3-pip:22.0.2+dfsg-1ubuntu0.6,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-camcalibration,python3-wheel:0.37.1-2ubuntu0.22.04.1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-camcalibration,gosu:1.14-1ubuntu0.1,Ubuntu,Apache-2.0,Y,Used at initialization
scenescape-camcalibration,openssl:3.0.2-0ubuntu1.19,Ubuntu,Apache-2.0,Y,used
scenescape-controller,gosu:1.14-1ubuntu0.1,Ubuntu,Apache-2.0,Y,Used at initialization
scenescape-controller,libarmadillo12:1:12.6.7+dfsg-1build2,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-controller,libllvm19:amd64:1:19.1.1-1ubuntu1~24.04.2,Ubuntu,Apache-2.0,Y,used by openvino
scenescape-controller,libopencv-calib3d406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-contrib406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-core406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-dnn406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-controller,libopencv-features2d406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-flann406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-controller,libopencv-highgui406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-imgcodecs406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-imgproc406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-ml406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-controller,libopencv-objdetect406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libopencv-video406t64:amd64:4.6.0+dfsg-13.1ubuntu1,Ubuntu,Apache-2.0,Y,imported and linked
scenescape-controller,libsharpyuv0:amd64:1.3.2-0.4build3,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-controller,openssl:3.0.13-0ubuntu3.5,Ubuntu,Apache-2.0,Y,used
scenescape-manager,apache2:2.4.52-1ubuntu4.15,Ubuntu,Apache-2.0,Y,used for web server
scenescape-manager,apache2-bin:2.4.52-1ubuntu4.15,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,apache2-data:2.4.52-1ubuntu4.15,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,apache2-utils:2.4.52-1ubuntu4.15,Ubuntu,Apache-2.0,Y,used for web server
scenescape-manager,libapache2-mod-qos:11.63-1build1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libapache2-mod-wsgi-py3:4.9.0-1ubuntu0.1,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libapr1:amd64:1.7.0-8ubuntu0.22.04.2,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libaprutil1:amd64:1.6.1-5ubuntu4.22.04.2,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libaprutil1-dbd-sqlite3:amd64:1.6.1-5ubuntu4.22.04.2,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libaprutil1-ldap:amd64:1.6.1-5ubuntu4.22.04.2,Ubuntu,Apache-2.0,Y,indirect dependency automatically installed
scenescape-manager,libllvm15:amd64:1:15.0.7-0ubuntu0.22.04.3,Ubuntu,Apache-2.0,Y,used by openvino
scenescape-manager,openssl:3.0.2-0ubuntu1.19,Ubuntu,Apache-2.0,Y,used
scenescape-manager,opencv.js,https://docs.opencv.org/4.10.0/opencv.js,Apache-2.0,Y,imported
scenescape-manager,snap-svg,https://raw.githubusercontent.com/adobe-webplatform/Snap.svg/master/dist/snap.svg-min.js,Apache-2.0,Y,imported
scenescape-secrets,kind,https://github.com/kubernetes-sigs/kind,Apache-2.0,N,used
